IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	
sample_1396	0.00797203	-0.00386913	-0.00208619	-0.0162396	0.00859571	0.00550154	-0.016393	0.00339238	0.00499674	-0.0063127
sample_1397	0.00133486	-0.00613665	-0.0213493	0.00594042	0.0017199	-0.0208318	-0.0078531	-0.0058027	-0.0101427	-0.0086793
sample_1398	0.0199522	-0.0114819	0.00711553	-0.0115474	0.0171709	-0.0128173	0.0115251	-0.00164386	-0.000552484	0.000190859
sample_1399	0.0030649	0.00705928	0.010123	-0.0202035	-0.00057709	0.0176558	-0.0243727	0.0150585	-0.00586976	0.00256264
sample_1400	-0.00275448	-0.0191536	0.00800318	0.00306616	-0.00380432	-0.00391845	0.0183307	0.00413597	0.00293442	-0.00314538
sample_1401	-0.0052272	0.00657236	0.0186681	0.00309036	0.00401887	0.0089787	0.0326582	-0.00697529	0.0268395	-0.00542756
sample_1402	-0.00600914	-0.0019749	-0.00267273	-0.0106356	0.0076356	0.00271627	0.00417844	-0.0098918	-0.00340375	-0.00245219
sample_1403	0.0060621	0.0140366	-0.000231678	-0.0288524	-0.00946973	0.0113408	0.00307607	0.0343757	-0.00545335	0.0237736
sample_1404	-0.00320562	-0.00221929	0.000112408	-0.0110412	-0.0152499	0.0151759	-0.00479753	-0.0061332	-0.00452446	0.0230181
sample_1405	-0.000282047	0.00576492	0.00715412	0.000168054	-0.006976	0.00146413	0.0103967	-0.00172304	0.00256499	-0.0196054
sample_1406	0.00375489	-0.00936473	-0.0247801	0.0215759	0.00465161	-0.00251634	-0.00373555	-0.00720655	-0.0117266	-0.000880961
sample_1407	-0.0189904	-0.00231327	0.00463531	0.0117532	-0.00520826	0.0108874	0.00809647	-0.0262913	0.00236595	0.0023186
sample_1408	0.00577997	0.0196666	-0.0103069	0.00101572	-0.000185198	0.00498199	-0.0146834	-0.00404933	-0.00746741	-0.00812118
sample_1409	-0.0173388	-0.000102976	-0.0147302	0.0036329	0.00600463	-0.0147738	-0.00104051	0.00132108	0.000477202	-0.00817932
sample_1410	0.0167137	-0.0278423	-0.00480127	0.000210684	0.0230203	-0.0138595	-0.00923308	-0.0243088	0.00726761	0.0158011
sample_1411	-0.00502191	-0.0214294	-0.00226997	-0.00495292	-0.00896514	-0.00708608	-0.00832297	-0.00686154	-0.00939231	-0.0186492
sample_1412	0.0167709	-0.00590046	-0.0107376	0.0130638	0.000545613	0.0205869	0.0107526	-0.002338	-0.0134112	-0.0126682
sample_1413	-0.00512755	-0.0127377	0.0340601	-0.0271797	7.64904e-06	0.00469836	0.00857995	0.00660627	-0.01385	-0.0238127
sample_1414	0.0133875	-0.00518296	0.00891214	-0.00736058	0.000564547	-0.00799589	0.0223135	0.00869171	0.00526062	0.0172512
sample_1415	0.0213599	0.000911459	0.00386688	-0.0088257	0.0193025	-0.0116291	0.00623296	0.00986192	0.000869481	-0.000864634
sample_1416	-0.00710399	-0.00663825	-0.0208112	7.28829e-05	0.00138376	-0.00899747	-0.0114231	-0.00472925	-0.0151657	-0.00268437
sample_1417	0.00649512	0.00821608	0.00255914	-0.00776196	0.000877719	-0.0183226	0.00354914	0.0183686	0.0190029	-0.00186093
sample_1418	-0.00309612	-0.016614	-0.0109016	0.00560341	-0.0125204	0.000742525	0.014812	0.0104282	-0.0063859	0.017454
sample_1419	0.00533506	-0.00952454	0.00915883	0.0219213	-0.00710061	0.00187242	-0.0167758	0.0135351	-0.00242583	-0.0132066
sample_1420	-0.00587499	-0.00103728	0.0227718	-0.00326359	0.0127597	-0.00730337	3.90736e-05	0.0267962	0.0127651	0.0112941
sample_1421	0.00708775	-0.0122061	-0.000166369	0.00291011	-0.00819054	-0.0045391	0.00274863	0.0118353	0.00983836	-0.0262402
sample_1422	-0.0130958	0.00260589	-0.00213094	-0.00807091	0.00697133	-0.00103634	0.00727496	0.00648732	0.00961615	0.021055
sample_1423	0.0406937	0.0355818	0.0143811	0.00713742	0.023371	-0.00507633	-0.0186872	-0.0090324	-0.0459864	-0.0250298
sample_1424	-0.00900426	0.00207176	0.003309	0.00652613	0.000425948	-0.0132881	0.000127057	-0.013116	0.00109122	-0.000733886
sample_1425	-0.00548914	-0.00443109	-0.00112356	0.0109385	0.00440114	-0.00618225	0.00269725	-0.0221308	-0.0109657	-0.0134009
sample_1426	-0.00197692	0.0178346	0.0164609	0.00486957	-0.00706246	0.00537369	-0.0187645	-0.00276905	0.00213226	-0.0137495
sample_1427	-0.0148637	-0.00205237	0.00677805	0.0156443	-0.0163966	-0.00280584	-0.00736436	-0.00343115	-0.00230494	0.006143
sample_1428	0.0219544	0.0117355	0.00445589	-0.00179149	-0.0134753	-0.0115128	0.000360021	-0.0152261	-0.00632585	0.00842054
sample_1429	0.0119432	-0.00251984	-0.0142438	-0.0221833	0.0115717	-0.0127062	-0.0237998	-0.0108847	0.00294446	0.0118869
sample_1430	-0.017627	0.0155125	-0.0240594	-0.0877984	0.00380093	0.0337109	0.00767024	-0.00552277	0.0333594	-0.00043811
sample_1431	-0.0193778	-0.00577748	-0.000334895	0.00694248	-0.0127754	0.0210061	-0.0356206	0.0157361	-0.0301506	0.0112792
sample_1432	0.00312791	-0.0162043	0.0213575	0.0118421	0.00119564	-0.00719457	-0.000670541	-0.00469191	-0.00608294	0.000430177
sample_1433	-0.000176917	-0.00279894	0.00624404	0.00291682	-0.000514845	-0.0105635	-0.00851692	0.0170019	0.00543251	-0.0164492
sample_1434	0.027865	-0.0107367	-0.0306409	-0.0253118	-0.00675225	-0.0290592	-0.00215266	0.0154316	-0.00142082	0.0101614
sample_1435	-0.019963	-0.00399949	-0.00989911	-0.0274972	0.014355	0.0150408	-0.0152073	0.0132869	-0.00815414	-0.0115054
sample_1436	0.016797	0.0556664	-0.00243301	0.00561584	-0.00701116	0.0126283	0.0153584	0.0368686	0.0271669	0.0103705
sample_1437	-0.00957174	-0.00506219	-0.0101274	0.00997249	-0.00105503	-0.00759886	0.00830452	-0.00621113	0.00427725	0.0169212
sample_1438	-0.0226727	-0.00221179	4.36267e-05	-0.012406	-0.000926715	-0.00476908	-0.00510905	-0.0191989	-0.0166353	0.000524842
sample_1439	-0.0115213	0.00188091	-0.00216399	0.0102946	0.0110306	-0.00957777	0.00498664	-0.00726831	-0.001677	0.0185757
sample_1440	0.00870967	0.0261805	0.010654	-0.00732173	0.00852725	-0.0146825	0.0154629	0.00745171	0.00484761	-0.0150422
sample_1441	-0.0490436	0.022735	-0.0213742	-0.00283521	0.0192172	-0.00378834	0.0589655	-0.0377346	0.0107631	0.00608685
sample_1442	-0.00692768	0.00949961	-0.00930819	-0.0260203	-0.00843449	0.0363492	0.00390203	0.00140865	-0.00516795	0.00390831
sample_1443	0.00622176	-0.00825427	0.0103461	-0.0161642	0.00993889	0.0145404	-0.0168186	0.00759159	0.00328585	-0.00537629
sample_1444	0.00393016	-0.00499959	-0.00153379	0.000770033	-0.0224717	-0.00638913	0.00138752	-0.00074653	-0.00414176	-0.00976811
sample_1445	0.00010875	0.000138998	0.00815924	0.0121683	-0.00955183	0.00767386	0.00572924	0.0181978	-0.0189665	0.00917128
sample_1446	-0.00376839	0.00515419	-0.0105685	-0.00602625	0.00415716	0.041231	0.0108085	-0.00410833	-0.0122315	-0.00823851
sample_1447	-0.00579632	-0.00983593	0.00885227	0.000425418	-0.0180729	0.00121941	-0.00116107	0.00110759	0.0125021	-0.0064824
sample_1448	-0.0172679	0.0185074	-0.00261736	-0.000468314	0.00447945	-0.0117809	-0.0105112	0.0186536	-0.0166806	-0.0152407
sample_1449	-0.0292436	0.00632622	-0.0542419	-0.00991685	-0.015745	0.0267528	-0.00131384	0.000848227	-0.00379197	0.0469571
sample_1450	-0.00967335	0.0050944	-0.0084145	-0.00988073	-0.0036638	0.00653912	-0.0128678	-0.00581932	0.00752535	-0.0132405
sample_1451	-0.00369691	0.00549798	-0.00352755	-0.0190572	-0.00735475	0.0207247	-0.0241795	0.010064	-0.0163244	-0.00950998
sample_1452	0.000786964	0.00289374	-0.00916123	-0.0113058	-0.0097675	0.0101843	-0.00185871	0.00910956	0.00424845	-0.00545965
sample_1453	0.0465117	0.0306333	0.0167917	0.00812072	0.03794	-0.00971379	0.0013851	-0.0229881	-0.0213434	-0.00829979
sample_1454	-0.0115275	-0.0050466	0.00925365	0.00337698	0.000427891	-0.00471585	0.00185008	-0.027879	-0.0177441	0.00456385
sample_1455	0.00908635	0.0143993	0.00640937	0.0193709	-0.00951207	-0.00814115	-0.0126722	0.00860669	-0.0197974	0.0108668
sample_1456	-0.00200496	0.00912486	-0.0081197	0.0205692	0.00539193	-0.0094935	-0.0103297	0.00187317	-0.0234943	-0.0204559
sample_1457	-0.0102543	-0.0159258	-0.0195632	0.00604256	-0.00361989	-0.0172792	0.00240881	-0.00770746	-0.00866994	0.0158257
sample_1458	0.019848	0.0144735	-0.00421401	-0.00247332	0.00169584	0.0100857	-0.00684863	-0.00277798	-0.00838432	-0.00119511
sample_1459	-0.0040873	0.0104043	-0.00569676	-0.0161385	-0.00817658	0.0101086	-0.0138903	0.00171408	0.0187694	-0.0123301
sample_1460	0.00138434	-0.00615394	-0.0110558	-0.00357133	0.00470221	0.0015045	0.0016866	2.56319e-05	0.00221757	-0.00276326
sample_1461	0.0180029	0.012831	-0.00402537	0.0084808	-0.0045511	0.00120952	-0.00855204	-0.0126834	-0.00281411	-0.00697247
sample_1462	0.00562686	-0.0135596	0.00295459	-0.0114735	0.0245333	0.0197927	0.00503338	-0.0140979	0.00285488	-0.010074
sample_1463	-0.0172816	-0.00575963	-0.00898156	0.00860942	0.0108417	0.0256959	0.0108423	0.0120255	-0.0101465	-0.00535021
sample_1464	0.00541079	-0.00123176	-0.0402539	0.000233662	0.0164164	-0.0409824	-0.00363951	-0.0151039	-0.00869355	0.00447717
sample_1465	0.0203279	-0.00685274	0.0017244	0.01522	0.00998183	0.00678943	-0.0023962	-0.00498191	-0.00925359	-0.0199899
sample_1466	-0.00104581	-0.0284769	0.013304	-0.00935764	0.00495847	0.00827622	0.0176916	-0.00612798	-0.00190811	0.0141869
sample_1467	-0.0150908	0.0114049	0.0120359	0.00332931	-0.00896188	0.00403524	-0.00114005	-0.0100863	-0.0120219	-0.00172051
sample_1468	-0.00641227	7.75809e-05	-0.00841711	0.00630811	0.00248538	-0.00776416	0.0230913	-0.00694818	-0.0139208	0.0105928
sample_1469	-0.00481847	0.00643224	-0.00878572	-0.00191031	0.0166614	-0.0102824	0.00225637	0.00394743	0.00487401	-0.00644269
sample_1470	0.0181997	0.00553535	0.00971339	-0.000729833	0.00785641	0.0138769	0.0139463	0.00210802	-0.00765756	0.01301
sample_1471	-0.0132331	-0.00530018	-0.0335762	-0.0180585	0.0069321	0.00903756	0.0189193	0.0137826	0.0207277	-0.00254483
sample_1472	-0.0346404	0.00691671	-0.0124537	-0.0263196	-0.00937452	-0.000659645	-0.00680345	0.000121758	-0.00813748	0.0188916
sample_1473	0.00226116	-0.00182115	-0.012281	-0.021497	-0.0180314	-0.0153358	0.0358342	-0.0235874	0.0434387	0.0138966
sample_1474	0.00115433	0.00119788	-9.20711e-06	-0.00349453	0.0265291	0.00871658	0.0061234	-0.00762325	0.00970254	0.00552862
sample_1475	-0.0101416	0.00186777	0.034897	-0.0157711	0.00670713	0.019982	0.00741798	-0.0060401	0.0050445	0.0119641
sample_1476	-0.0165327	0.00637389	-0.0107164	-0.00754411	-0.00797947	-0.006568	-0.0043694	-0.0026248	-0.0200823	0.00423906
sample_1477	-0.00950111	0.00536737	0.00804807	0.00602717	-0.00216698	0.0126889	-0.000472291	-0.00321421	0.00212246	-0.0161468
sample_1478	-0.00138187	0.00057006	0.00787514	0.00822817	-0.00278154	-0.0138851	0.0104243	0.00706002	-0.0152558	-0.00300544
sample_1479	-0.0102145	0.00638427	0.0196556	-0.0105012	0.016062	-0.0213309	-0.0125818	-0.0123913	-0.00937636	-0.00717861
sample_1480	0.00630646	-0.00720005	0.0197975	-0.00473274	0.00257266	-0.00426741	-0.000575554	0.0265231	-0.0139281	0.0198613
sample_1481	-0.00863591	-0.00955566	-0.00369617	0.00465428	0.0180254	-0.0309633	-0.00296175	-0.0226095	-0.00668131	0.00427188
sample_1482	0.0101029	0.00289262	0.00660008	0.00786713	-0.0131374	0.0149008	-0.014119	-0.00940643	-0.00715146	0.00738155
sample_1483	-0.00183718	-0.00523879	0.00497	0.000533415	-0.00119584	-0.00384882	-0.0316097	-0.00946579	0.009708	0.00767381
sample_1484	0.0111729	7.04381e-05	-0.00677909	0.0226637	-0.00611827	-0.0101558	0.00459151	-0.00196392	0.00599888	-0.0138344
sample_1485	-0.00584732	0.0112986	-0.0266532	-0.00445689	0.0404238	-0.0283877	0.0393324	0.010631	0.0353397	-0.000374132
sample_1486	0.0214661	-0.00421528	-0.0110945	0.00645137	-0.0108421	0.0143785	0.00295527	-0.0055394	-0.00388098	-0.0179964
sample_1487	-0.00193302	0.00471699	-0.00469899	0.000687671	0.00957212	0.0175925	0.00443632	0.0213144	-0.0102704	0.0127937
sample_1488	0.00599651	-0.0139987	0.00801975	-0.0226494	-0.00211441	0.00169313	0.00505674	0.00674402	-0.00522881	0.00974833
sample_1489	0.0106762	-0.00349188	0.0148255	0.000795538	0.00910175	0.0186781	-0.00388613	0.00141925	0.0105639	-0.00523357
sample_1490	0.032704	0.0165734	0.0160729	0.00516775	0.0234541	-0.0116655	0.0041495	-0.0190743	0.0164129	-0.00916746
sample_1491	0.00490981	-0.00713869	-0.0178615	-0.00153174	-0.00161583	0.0264258	0.0192964	-0.0137823	-0.00432234	-0.0124982
sample_1492	-3.44699e-05	-0.00269002	-0.010732	0.00638003	0.00642917	-0.00458787	-0.0139882	-0.00656022	-0.00777587	-0.0116408
sample_1493	0.0199565	0.00857989	-0.00658164	0.00431511	0.00343086	0.000742292	0.00863468	-0.0193255	0.0236038	-0.0399859
sample_1494	-0.0247042	-0.0181262	-0.00603628	-0.0117698	-0.0253195	-0.00412388	-0.00376119	0.0345862	-0.00606093	0.0110591
sample_1495	0.00374523	-0.00981631	0.00695213	-0.00273329	-0.011854	0.00149477	-0.0175338	-0.013816	-0.000222091	-0.00766214
sample_1496	-0.00834334	0.00293583	0.0031675	0.000462643	-0.00651752	-0.00114586	0.000181344	-0.00429438	0.0117528	0.0175031
sample_1497	0.000934607	0.0193082	0.00264412	-0.00123614	0.0221416	0.0185504	-0.00655242	0.00351248	0.0148336	-0.00392854
sample_1498	0.0054745	0.0125108	-0.00443276	0.0101002	0.00755513	0.0294283	0.00438661	0.0141858	0.0050304	0.00338128
sample_1499	0.00538931	-0.00731315	0.0020987	-0.00952271	0.0116825	0.000310106	0.00819197	0.00514186	0.00722489	0.0122809
sample_1500	0.00144295	-0.00418626	0.004068	-0.00608492	0.00126972	0.0160884	0.00359731	0.010716	0.0226512	0.00561316
sample_1501	-0.00238738	0.00042935	0.00389169	0.00771132	0.00604099	-0.000586387	0.0132509	-0.0124294	0.00780133	-0.0150612
sample_1502	0.0056214	-0.00836649	0.00169003	-0.0255838	0.0163495	-0.00930708	-0.0128794	0.00621412	0.000434096	0.0139339
sample_1503	-0.00310517	-0.0108605	-0.0035051	0.00943219	-0.0204496	0.00747871	0.00712914	0.000292871	-0.00104606	-0.00605735
sample_1504	-0.0051614	-0.0274436	-0.00991878	0.000268532	-0.00298356	-0.0159282	-0.00897541	0.000196106	0.0114187	-0.00839692
sample_1505	0.00722542	-0.0507594	0.0415053	0.0114191	-0.0101142	-0.00362284	0.0135055	-0.00738082	-0.00056955	0.0060647
sample_1506	0.000605358	0.0169169	0.0106714	0.0242945	-0.00321546	0.00870679	-0.0518755	-0.0260539	0.0285393	0.00242401
sample_1507	0.00819769	-0.0185946	-0.00820261	0.00496638	-0.00570672	-0.0032671	-0.00720583	0.00845107	0.00834328	-0.00271866
sample_1508	0.0102507	0.00394797	0.019875	0.00379752	0.0116596	-0.00475835	-0.00171608	-0.00540326	0.00257156	-0.00109632
sample_1509	0.016719	0.0208246	0.0149184	-0.0236526	0.0208134	-0.0203669	-0.00745232	-0.00994787	0.00969524	-0.0263283
sample_1510	-0.0028029	0.0122494	-0.0028456	-0.0113374	-0.000923152	0.00361658	-0.000951604	8.85618e-05	0.0062072	0.00450929
sample_1511	-0.00837165	-0.00111314	0.00527167	-0.00842952	0.0120599	0.0141585	-0.0390284	0.0513584	0.0716338	0.00215149
sample_1512	-0.0194691	-0.00737751	-0.0113653	-0.0130145	0.0107461	-0.00269068	0.00220945	-0.00271387	0.0247057	-0.0166647
sample_1513	-0.0226944	-0.0385675	-0.000306347	-0.000993156	0.00109864	-0.0190155	-0.0675247	0.031874	-0.042373	0.0664475
sample_1514	0.00950529	-0.00361762	0.0114847	-0.0119253	-0.00163266	0.0121805	-0.00360703	-0.00686822	-0.0126727	0.00270474
sample_1515	0.00535647	-0.032031	-0.0140771	-0.00509234	-0.0145011	0.00846536	-0.0283354	0.000902921	0.00194399	0.0199875
sample_1516	0.000969245	0.00614848	0.00757879	-0.0141498	-0.00599882	0.0183785	-0.0122952	1.28192e-05	0.00998376	-0.0465588
sample_1517	-0.0143323	0.00422014	0.0262993	0.00760189	-0.0136542	-0.0123883	0.00216344	0.00443214	-0.00367949	-0.0165537
sample_1518	-0.00297408	-0.00419392	-0.0138704	0.00566139	0.00235468	-0.00903987	0.00552059	-0.010133	-0.00716238	0.0138434
sample_1519	0.00135402	-0.000203889	-0.00819614	0.0324204	-0.00060972	0.00282577	0.00136001	0.010887	-0.00351866	0.00167964
sample_1520	0.00281684	0.00675635	0.00268321	-0.0176056	-0.00464429	-0.00147047	0.00756984	0.00281175	0.00570517	0.00204845
sample_1521	0.028419	0.0151677	-0.00393608	-0.0088137	0.00176264	-0.0171027	-0.00921773	0.00222593	0.0181527	-0.0145197
sample_1522	-0.00468191	-0.0019558	-0.00930973	0.00227505	-0.00966638	0.0155298	-0.000546328	-0.00016242	0.00717955	0.00459959
sample_1523	0.0101154	0.010467	-0.0105526	-0.0153183	-0.0120901	-0.013204	0.0130686	0.00682654	-0.00819069	-0.00661615
sample_1524	-0.0134806	0.0105245	-0.0109576	-0.00905664	-0.00515143	-0.0124824	-0.0154462	0.00914612	0.00343587	-0.00969131
sample_1525	-0.00105551	0.0107063	0.00158	0.0155049	0.0162698	-0.005251	0.00332184	-0.00890372	-0.015001	0.00189561
sample_1526	-0.0473845	-0.00480214	-0.0115975	0.0101089	-0.0175293	-0.00589295	0.0159013	0.0281194	0.00968483	0.0182951
sample_1527	-0.00472067	-0.00704054	0.0102877	0.0209423	-0.00281794	-0.00847564	0.0040304	-0.0106928	-0.00919791	0.00398931
sample_1528	-0.00767439	-0.00242031	-0.00899426	0.0221314	0.0120243	0.00799433	-0.0033512	0.0141651	0.00576897	0.0222098
sample_1529	0.00086596	0.00565004	0.00351372	-0.0063521	0.0076477	-0.00665649	0.0242917	-0.00706356	-0.00296917	0.00755261
sample_1530	-0.00464568	0.0179967	-0.00505678	0.00645964	-0.00138291	0.00238382	-0.00745414	0.0212407	0.0071036	0.001497
sample_1531	-0.0093295	-0.024674	0.0100023	0.00611032	-0.00837842	-0.00680938	-0.0282604	0.0191438	0.00117752	-0.00445202
sample_1532	0.00833557	-0.006616	0.00841443	-0.0106885	0.00550972	-0.0260084	0.00996783	0.00184876	-0.00432498	-0.00558763
sample_1533	-0.00873639	-0.00289722	0.0110502	-0.00630204	-0.00564295	-0.00375058	0.00854023	0.0260968	0.00171788	-0.000408335
sample_1534	-0.00798933	-0.00519391	0.004635	-0.00877695	0.0133242	-0.00535531	-0.0221812	-0.0101155	-0.0062264	-0.0203789
sample_1535	-0.00449762	0.0253058	-0.0100012	-0.0164262	0.0233952	0.00993013	0.000216875	0.00980624	-0.00751698	0.0297232
sample_1536	-0.00923752	0.000215962	-0.0084868	-0.00200495	0.0126627	-0.00278225	0.00740963	-0.0182004	0.0079514	-0.0288695
sample_1537	-0.00876812	0.00591042	-0.00808322	-0.00391339	0.0137817	-0.0114239	0.0146934	0.00248421	-0.0274827	-0.00322103
sample_1538	-0.00793448	0.0108336	-0.0122352	0.00323163	0.000425355	0.028677	-0.00879009	-0.0216206	-0.00994125	0.00156764
sample_1539	0.0350724	-0.0267808	0.0343282	0.0237393	-0.0245465	-0.0425544	-0.0128285	-0.0304769	-0.00220621	-0.0218165
sample_1540	0.00142531	-0.00151031	0.00509772	0.00454447	-0.0026843	-0.00628748	-0.0137052	-0.0054794	-0.00669969	-0.00661202
sample_1541	-0.00701376	-0.0122877	-0.00231761	-0.00653896	0.00224983	-0.00987533	-0.00155006	-0.00148289	0.00744406	-0.0132187
sample_1542	-0.0146662	0.0204687	-0.00637537	0.0122521	-3.11772e-05	0.0156778	-0.0123887	-0.0039603	-0.00705119	0.00917414
sample_1543	0.00377369	0.00351436	0.00506261	0.00479251	-0.0186488	0.0093702	-0.000480772	-0.0034248	6.32088e-05	-0.00368068
sample_1544	0.00414427	-0.0201421	0.00255289	-0.0347296	-0.00927245	0.0159368	-0.0245569	0.000808918	-0.0184183	0.0271628
sample_1545	-0.023159	-0.0121063	-0.0173388	0.00738672	0.0120845	0.0219045	0.0171696	0.0071557	0.00262474	0.0103459
sample_1546	0.00372531	-0.0168918	0.0116767	0.0104132	-0.00365867	-0.00632583	-0.00283487	0.00305591	0.0129168	-0.0130762
sample_1547	-0.00415472	-0.0116806	0.0141345	0.0184884	-0.00647208	0.020488	-0.0119237	-0.0264179	0.00603893	-0.00779273
sample_1548	0.00284426	-0.0350127	0.012075	-0.0127462	0.00609614	0.000539175	0.00199949	0.00551148	-0.0103237	0.0222198
sample_1549	0.00680496	-0.0164266	0.00338194	-0.000312997	-0.000269284	0.01134	0.0144444	0.00614394	-0.0102283	-0.000279008
sample_1550	0.0118904	-0.00718227	-0.018397	0.013065	-0.0138473	0.0236747	0.00590978	0.00353702	0.0129868	0.00783799
sample_1551	0.00488701	0.00977191	0.00767964	-0.0123251	0.0104031	0.013556	0.00358279	-0.0206527	0.00166736	-0.00364976
sample_1552	0.0237855	0.0132586	-0.00123613	-0.0137937	0.0160781	0.0190057	-0.00235287	0.00224964	0.0112972	0.0130099
sample_1553	0.0163246	-0.0181067	-0.0152726	0.0118212	0.00824305	-0.00209359	-0.00547189	0.00076914	0.00638275	-0.00643603
sample_1554	0.0086786	0.0070536	0.00982471	-0.01198	0.0106592	-0.02612	0.0135724	0.00889521	0.0197719	0.0241737
sample_1555	-0.00784725	0.00192725	0.0104134	0.000519349	0.0113606	0.00187329	-0.00220671	-0.0232629	0.00354182	-0.001745
sample_1556	-0.0128825	0.00198035	0.0172825	-0.00297011	-0.000137996	-0.0289659	-0.00452884	-0.000498062	0.0104344	0.0290363
sample_1557	-0.00440545	0.0123887	0.00549374	0.0052624	-0.00714169	0.0059088	0.0061029	0.00897302	0.0225307	0.0136944
sample_1558	-0.00263852	0.00514076	0.00166771	-0.0132328	-0.0180551	-0.00146784	-0.0223591	-0.00959232	0.00761737	0.0142211
sample_1559	0.0164079	-0.00555938	0.0199242	-0.0027911	-0.0351051	-0.0267954	-0.00159806	0.00609325	-0.0132308	0.00814006
sample_1560	-0.0049173	0.00140561	-0.000714012	0.00218806	-0.0122896	-0.0126502	0.00435031	0.010486	-0.024663	0.0133637
sample_1561	0.0100332	0.0108029	0.00446086	-0.00743429	0.0133243	-0.0165303	0.015371	-0.0132976	-0.0199318	0.00243804
sample_1562	0.00904343	-0.00782614	0.00791941	-0.0233913	-0.00269703	0.0199349	0.0210439	0.00623647	-0.00306062	0.0128856
sample_1563	0.00692818	-0.00263801	-0.00880178	-0.0101453	0.0154265	0.00376023	0.00410113	-0.012687	0.00289254	0.00930981
sample_1564	0.00655445	-0.0104416	0.00198263	-0.0222684	-0.015841	0.00115622	0.0277706	0.00904745	0.0036792	0.00899357
sample_1565	0.00851334	0.00241284	0.00363616	0.00840603	-0.00205674	-0.00460992	0.0113423	-0.00183514	-0.00245836	0.00576369
sample_1566	-0.0180465	0.00866769	-0.0374224	-0.000328236	0.0014962	0.00980639	0.0134797	-0.0156814	0.0019322	-0.0305531
sample_1567	-0.00411581	0.0237509	-0.00833289	0.0158751	-0.00714088	-0.0081043	-0.0159806	5.13079e-05	-0.00108524	0.0248506
sample_1568	-0.0106314	0.00906682	-0.00104366	0.0186461	0.0234467	-0.00663947	0.0213207	0.0291641	-0.0134909	-0.0341631
sample_1569	0.0253257	0.0116695	-0.00137426	-0.0034602	-0.0072032	0.00397022	0.00958343	0.00226553	0.00451355	-0.00145484
sample_1570	-0.00168591	0.000235784	-0.00331256	-0.0237338	-0.0260209	0.00639395	0.00709086	0.0374191	-0.0146567	0.0149502
sample_1571	0.00183797	0.00655446	-0.0302758	0.0509979	0.00583213	-0.0208006	0.0067917	-0.0204942	0.00867117	-0.0324387
sample_1572	0.029769	-0.0472957	-0.0510526	-0.0143382	-0.0250906	-0.0353361	-0.0210675	-0.00660275	0.0256045	-0.0217104
sample_1573	0.0220361	0.00943327	-0.00767876	-0.00768637	0.00962974	-0.0157386	0.00256604	0.0223479	0.00767848	-0.0250865
sample_1574	0.00573164	0.0388066	-0.00976204	0.0195402	-0.0309477	0.00617044	0.00576791	0.00681063	-0.000845745	-0.00512427
sample_1575	-0.00561818	0.00165147	0.00477523	0.0183001	-0.00336461	-0.0128852	0.00463261	-0.0105782	-0.00306439	-0.00724816
sample_1576	-0.0186164	0.0123663	-0.0129869	0.0166216	0.00159429	-0.00596518	-0.0267086	-0.0275766	-0.0312003	-0.0412303
sample_1577	0.00434617	-0.038178	0.00868078	0.000975642	0.00802686	0.00269003	-0.0107116	0.00148722	-0.00541855	0.00379512
sample_1578	0.000488345	-0.00505345	-0.0121832	-0.000428835	-0.0127634	0.00790546	0.00214875	0.00520661	-0.0182379	0.00468266
sample_1579	-0.0117576	0.0154857	0.00172718	-0.00769255	-0.00362059	0.00314184	-0.0201652	0.00907752	-0.00528253	0.0279071
sample_1580	-0.0107161	0.0108878	-0.00414826	0.00530205	0.0226621	-0.00485182	0.0218251	-0.0224551	-0.0209441	0.0116631
sample_1581	-0.00123614	0.012478	0.0161445	0.0136493	-0.00900375	0.0207656	-0.00259704	-0.00657414	0.0109687	0.00467177
sample_1582	0.00667469	0.00900476	0.0044529	-0.0136123	-0.00201334	0.0101698	-0.0184236	-0.0050652	0.00104717	0.0034955
sample_1583	-0.0240616	0.00281176	-0.00698125	-0.000813077	-0.0179034	-0.0177065	-0.0176471	0.00515849	-0.00517358	0.00052399
sample_1584	0.00285467	0.0114812	-0.00681146	-0.0164411	-0.00623615	0.0183021	-0.00530893	0.0184006	-0.0179146	0.00429858
sample_1585	-0.0064219	-0.00685477	0.00741393	-0.00401023	-0.0139658	-0.0329772	0.0128182	0.03665	0.0106834	-0.00816001
sample_1586	-0.004562	-0.00357323	0.00557611	-0.00418694	-0.00561512	-0.0146821	0.000903289	0.0176112	0.0123486	-0.00275963
sample_1587	0.0235478	-0.00201474	-0.00250014	-0.00424827	-0.00134735	-0.00242642	0.0134284	0.00946752	-0.00200404	0.00557994
sample_1588	-0.00559579	0.00571878	0.0220252	-0.00394808	0.0062474	-0.0162578	-0.0117282	0.0107974	0.0107092	0.00585132
sample_1589	-0.0176132	-0.00885046	-0.0121618	-0.0365157	0.0589352	0.0168906	-0.0132627	0.0455806	0.00896775	0.0641885
sample_1590	-0.00337386	0.00184912	-0.00998142	6.14595e-06	-0.0148345	0.00720777	-0.00160588	0.00218699	-0.000485287	0.00804431
sample_1591	0.0112042	-0.00916163	0.016923	0.00476921	-0.0174081	0.00319429	-0.0176461	0.00399958	0.00707154	-0.00017462
sample_1592	-0.00326195	0.00774972	0.00935198	-0.0142731	0.00402489	0.0040022	0.0195544	0.025509	0.0108967	0.000964984
